run_id;RF;Ni_pct;Cu_pct;contamination;frequency;R_u;k0_eff;Gamma_eff;Au_fraction;I_peak_nA;E_peak_V;FWHM_mV;I_baseline_uA;sigma_baseline_nA;SNR;R2_gaussian;baseline_ratio_pct;IR_drop_mV;K_dimensionless;status;output_dir;swv_png;components_png;baseline_png;data_csv
63;3.0;2;0;0;50;0;27.44;7.84e-08;0.980;4444.7408;-0.2440;60.00;6.9083;4.42;1006.7;0.9983;60.8;0.00;0.55;OK;063_RF3.0_Ni2_f50Hz;063_RF3.0_Ni2_f50Hz/deliverables/063_RF3.0_Ni2_f50Hz_SWV_curve.png;063_RF3.0_Ni2_f50Hz/deliverables/063_RF3.0_Ni2_f50Hz_components.png;063_RF3.0_Ni2_f50Hz/deliverables/063_RF3.0_Ni2_f50Hz_baseline_zoom.png;063_RF3.0_Ni2_f50Hz/swv_data.csv
64;3.0;2;0;0;100;0;27.44;7.84e-08;0.980;4722.8532;-0.2440;60.00;13.8111;4.12;1147.4;0.9966;74.5;0.00;0.27;OK;064_RF3.0_Ni2_f100Hz;064_RF3.0_Ni2_f100Hz/deliverables/064_RF3.0_Ni2_f100Hz_SWV_curve.png;064_RF3.0_Ni2_f100Hz/deliverables/064_RF3.0_Ni2_f100Hz_components.png;064_RF3.0_Ni2_f100Hz/deliverables/064_RF3.0_Ni2_f100Hz_baseline_zoom.png;064_RF3.0_Ni2_f100Hz/swv_data.csv
65;3.0;2;0;0;200;0;27.44;7.84e-08;0.980;5007.1023;-0.2480;64.00;27.6166;4.04;1240.7;0.9932;84.7;0.00;0.14;OK;065_RF3.0_Ni2_f200Hz;065_RF3.0_Ni2_f200Hz/deliverables/065_RF3.0_Ni2_f200Hz_SWV_curve.png;065_RF3.0_Ni2_f200Hz/deliverables/065_RF3.0_Ni2_f200Hz_components.png;065_RF3.0_Ni2_f200Hz/deliverables/065_RF3.0_Ni2_f200Hz_baseline_zoom.png;065_RF3.0_Ni2_f200Hz/swv_data.csv
66;3.0;2;0;0;500;0;27.44;7.84e-08;0.980;6152.0037;-0.2600;64.00;69.0358;4.28;1436.6;0.9842;91.8;0.00;0.05;OK;066_RF3.0_Ni2_f500Hz;066_RF3.0_Ni2_f500Hz/deliverables/066_RF3.0_Ni2_f500Hz_SWV_curve.png;066_RF3.0_Ni2_f500Hz/deliverables/066_RF3.0_Ni2_f500Hz_components.png;066_RF3.0_Ni2_f500Hz/deliverables/066_RF3.0_Ni2_f500Hz_baseline_zoom.png;066_RF3.0_Ni2_f500Hz/swv_data.csv
67;3.0;5;0;0;10;0;27.44;7.60e-08;0.950;2162.9015;-0.2400;56.00;1.4721;9.10;237.7;0.9996;40.5;0.00;2.74;OK;067_RF3.0_Ni5_f10Hz;067_RF3.0_Ni5_f10Hz/deliverables/067_RF3.0_Ni5_f10Hz_SWV_curve.png;067_RF3.0_Ni5_f10Hz/deliverables/067_RF3.0_Ni5_f10Hz_components.png;067_RF3.0_Ni5_f10Hz/deliverables/067_RF3.0_Ni5_f10Hz_baseline_zoom.png;067_RF3.0_Ni5_f10Hz/swv_data.csv
68;3.0;5;0;0;25;0;27.44;7.60e-08;0.950;3720.3759;-0.2400;56.00;3.6621;8.63;430.9;0.9990;49.6;0.00;1.10;OK;068_RF3.0_Ni5_f25Hz;068_RF3.0_Ni5_f25Hz/deliverables/068_RF3.0_Ni5_f25Hz_SWV_curve.png;068_RF3.0_Ni5_f25Hz/deliverables/068_RF3.0_Ni5_f25Hz_components.png;068_RF3.0_Ni5_f25Hz/deliverables/068_RF3.0_Ni5_f25Hz_baseline_zoom.png;068_RF3.0_Ni5_f25Hz/swv_data.csv
69;3.0;5;0;0;50;0;27.44;7.60e-08;0.950;4306.1206;-0.2440;60.00;7.3129;8.64;498.6;0.9984;62.9;0.00;0.55;OK;069_RF3.0_Ni5_f50Hz;069_RF3.0_Ni5_f50Hz/deliverables/069_RF3.0_Ni5_f50Hz_SWV_curve.png;069_RF3.0_Ni5_f50Hz/deliverables/069_RF3.0_Ni5_f50Hz_components.png;069_RF3.0_Ni5_f50Hz/deliverables/069_RF3.0_Ni5_f50Hz_baseline_zoom.png;069_RF3.0_Ni5_f50Hz/swv_data.csv
70;3.0;5;0;0;100;0;27.44;7.60e-08;0.950;4572.2192;-0.2440;60.00;14.6145;8.56;534.0;0.9967;76.2;0.00;0.27;OK;070_RF3.0_Ni5_f100Hz;070_RF3.0_Ni5_f100Hz/deliverables/070_RF3.0_Ni5_f100Hz_SWV_curve.png;070_RF3.0_Ni5_f100Hz/deliverables/070_RF3.0_Ni5_f100Hz_components.png;070_RF3.0_Ni5_f100Hz/deliverables/070_RF3.0_Ni5_f100Hz_baseline_zoom.png;070_RF3.0_Ni5_f100Hz/swv_data.csv
71;3.0;5;0;0;200;0;27.44;7.60e-08;0.950;4850.2648;-0.2480;64.00;29.2180;8.97;540.7;0.9934;85.8;0.00;0.14;OK;071_RF3.0_Ni5_f200Hz;071_RF3.0_Ni5_f200Hz/deliverables/071_RF3.0_Ni5_f200Hz_SWV_curve.png;071_RF3.0_Ni5_f200Hz/deliverables/071_RF3.0_Ni5_f200Hz_components.png;071_RF3.0_Ni5_f200Hz/deliverables/071_RF3.0_Ni5_f200Hz_baseline_zoom.png;071_RF3.0_Ni5_f200Hz/swv_data.csv
72;3.0;5;0;0;500;0;27.44;7.60e-08;0.950;5953.6799;-0.2600;64.00;73.0245;8.24;722.3;0.9842;92.5;0.00;0.05;OK;072_RF3.0_Ni5_f500Hz;072_RF3.0_Ni5_f500Hz/deliverables/072_RF3.0_Ni5_f500Hz_SWV_curve.png;072_RF3.0_Ni5_f500Hz/deliverables/072_RF3.0_Ni5_f500Hz_components.png;072_RF3.0_Ni5_f500Hz/deliverables/072_RF3.0_Ni5_f500Hz_baseline_zoom.png;072_RF3.0_Ni5_f500Hz/swv_data.csv
